timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618577569388,524,api/users/info,200,OK,PELAPORAN STAGING 1-84,text,true,,1745,667,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,524,0,0
1618577569009,923,api/country,200,OK,PELAPORAN STAGING 1-78,text,true,,9558,664,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/country,913,0,0
1618577568419,1521,api/cases,200,OK,PELAPORAN STAGING 1-79,text,true,,209556,861,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1242,0,0
1618577569732,450,api/areas/district-city,200,OK,PELAPORAN STAGING 1-83,text,true,,2395,676,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,450,0,0
1618577569912,485,api/areas/sub-district/32.17,200,OK,PELAPORAN STAGING 1-84,text,true,,2524,681,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17,485,0,0
1618577569932,465,api/cases-summary,200,OK,PELAPORAN STAGING 1-78,text,true,,1116,788,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,465,0,0
1618577569338,1105,api/areas/hospital,200,OK,PELAPORAN STAGING 1-82,text,true,,179789,685,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,492,0,0
1618577569466,1086,api/login,200,OK,PELAPORAN STAGING 1-85,text,true,,1927,721,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/login,1086,0,493
1618577569240,1500,api/areas/hospital,200,OK,PELAPORAN STAGING 1-80,text,true,,179800,685,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,886,0,0
1618577569940,906,api/occupations,200,OK,PELAPORAN STAGING 1-79,text,true,,2387,668,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,906,0,0
1618577569594,1442,api/cases,200,OK,PELAPORAN STAGING 1-81,text,true,,209567,861,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1084,0,0
1618577570397,807,api/areas/district-city,200,OK,PELAPORAN STAGING 1-84,text,true,,2401,676,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,803,0,0
1618577570847,408,api/country,200,OK,PELAPORAN STAGING 1-79,text,true,,9545,664,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/country,408,0,0
1618577570552,793,api/users/info,200,OK,PELAPORAN STAGING 1-85,text,true,,1747,667,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,793,0,0
1618577571036,413,api/occupations,200,OK,PELAPORAN STAGING 1-81,text,true,,2385,668,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,413,0,0
1618577568820,2652,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-76,text,true,,583599,690,12,12,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,557,0,0
1618577560464,11003,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-76,,true,,994590,7101,12,12,null,6863,4,400
1618577570182,1319,api/areas/hospital,200,OK,PELAPORAN STAGING 1-83,text,true,,179787,685,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,512,0,0
1618577568951,2849,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-75,text,true,,583602,690,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,879,0,0
1618577559465,12332,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-75,,true,,994617,7101,11,11,null,7928,3,450
1618577571449,440,api/country,200,OK,PELAPORAN STAGING 1-81,text,true,,9539,664,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/country,440,0,0
1618577570466,1466,api/login,200,OK,PELAPORAN STAGING 1-86,text,true,,1917,721,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/login,1466,0,522
1618577570443,1541,api/cases,200,OK,PELAPORAN STAGING 1-82,text,true,,209552,861,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1262,0,0
1618577571255,857,api/cases-summary,200,OK,PELAPORAN STAGING 1-79,text,true,,1116,788,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,855,0,0
1618577571346,1036,api/areas/sub-district/32.17,200,OK,PELAPORAN STAGING 1-85,text,true,,2538,681,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17,1031,0,0
1618577571889,598,api/cases-summary,200,OK,PELAPORAN STAGING 1-81,text,true,,1120,788,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,598,0,0
1618577570741,1849,api/cases,200,OK,PELAPORAN STAGING 1-80,text,true,,209560,861,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1315,0,0
1618577571205,1439,api/areas/hospital,200,OK,PELAPORAN STAGING 1-84,text,true,,179787,685,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,851,0,0
1618577571932,850,api/users/info,200,OK,PELAPORAN STAGING 1-86,text,true,,1757,667,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,850,0,0
